A00;Cholera
D90;Immunkompromittierung nach Bestrahlung, Chemother. […];Immunkompromittierung nach Bestrahlung, Chemotherapie und sonstigen immunsuppressiven Maßnahmen
E00;Angeborenes Jodmangelsyndrom
E01;Jodmangelbedingte Schilddrüsenkrankheiten […];Jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände
E02;Subklinische Jodmangel-Hypothyreose
E03;Sonstige Hypothyreose
E04;Sonstige nichttoxische Struma
E05;Hyperthyreose [Thyreotoxikose]
E06;Thyreoiditis
E07;Sonstige Krankheiten der Schilddrüse
E10;Diabetes mellitus, Typ 1
E11;Diabetes mellitus, Typ 2
E12;Diabetes mellitus in Verb. mit Fehl- oder Mangelernährung;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
E13;Sonstiger näher bezeichneter Diabetes mellitus
E14;Nicht näher bezeichneter Diabetes mellitus
E15;Hypoglykämisches Koma, nichtdiabetisch
E16;Sonstige Störungen der inneren Sekretion des Pankreas
E20;Hypoparathyreoidismus
E21;HPT und sonstige Krankheiten der Nebenschilddrüse;Hyperparathyreoidismus und sonstige Krankheiten der Nebenschilddrüse
E22;Überfunktion der Hypophyse
E23;Unterfunktion und andere Störungen der Hypophyse
E24;Cushing-Syndrom
E25;Adrenogenitale Störungen
E26;Hyperaldosteronismus
E27;Sonstige Krankheiten der Nebenniere
E28;Ovarielle Dysfunktion
E29;Testikuläre Dysfunktion
E30;Pubertätsstörungen, anderenorts nicht klassifiziert
E31;Polyglanduläre Dysfunktion
E32;Krankheiten des Thymus
E34;Sonstige endokrine Störungen
E35;Störungen der endokrinen Drüsen […];Störungen der endokrinen Drüsen bei anderenorts klassifizierten Krankheiten
E40;Kwashiorkor
E41;Alimentärer Marasmus
E42;Kwashiorkor-Marasmus
E43;N.n.bez. erhebliche Energie- und Eiweißmangelernährung;Nicht näher bezeichnete erhebliche Energie- und Eiweißmangelernährung
E44;Energie- und Eiweißmangelern. mäßigen und leichten Grades;Energie- und Eiweißmangelernährung mäßigen und leichten Grades
E45;Entwicklungsverzögerung durch Energie- u. Eiweißmangelern.;Entwicklungsverzögerung durch Energie- und Eiweißmangelernährung
E46;Nicht näher bezeichnete Energie- und Eiweißmangelernährung
E50;Vitamin-A-Mangel
E51;Thiaminmangel [Vitamin-B1-Mangel] 
E52;Niazinmangel [Pellagra]
E53;Mangel an sonstigen Vitaminen des Vitamin-B-Komplexes
E54;Ascorbinsäuremangel
E55;Vitamin-D-Mangel
E56;Sonstige Vitaminmangelzustände
E58;Alimentärer Kalziummangel
E59;Alimentärer Selenmangel
E60;Alimentärer Zinkmangel
E61;Mangel an sonstigen Spurenelementen
E63;Sonstige alimentäre Mangelzustände
E64;Folgen von Mangelern. o. sonst. alimentären Mangelzust.;Folgen von Mangelernährung oder sonstigen alimentären Mangelzuständen
E65;Lokalisierte Adipositas
E66;Adipositas
E67;Sonstige Überernährung
E68;Folgen der Überernährung
E70;Störungen des Stoffwechsels aromatischer Aminosäuren
E71;Störungen des Stoffwechsels verzweigter Aminosäuren […];Störungen des Stoffwechsels verzweigter Aminosäuren und des Fettsäurestoffwechsels
E72;Sonstige Störungen des Aminosäurestoffwechsels
E73;Laktoseintoleranz
E74;Sonstige Störungen des Kohlenhydratstoffwechsels
E75;Störungen des Sphingolipidstoffwechsels/der Lipidspeich.;Störungen des Sphingolipidstoffwechsels und sonstige Störungen der Lipidspeicherung
E76;Störungen des Glykosaminoglykan-Stoffwechsels
E77;Störungen des Glykoproteinstoffwechsels
E78;Störungen des Lipoproteinstoffwechsels […] Lipidämien;Störungen des Lipoproteinstoffwechsels und sonstige Lipidämien
E79;Störungen des Purin- und Pyrimidinstoffwechsels
E80;Störungen des Porphyrin- und Bilirubinstoffwechsels
E83;Störungen des Mineralstoffwechsels
E84;Zystische Fibrose
E85;Amyloidose
E86;Volumenmangel
E87;Sonstige Störungen des Wasser-/Elektrolythaushaltes […];Sonstige Störungen des Wasser- und Elektrolythaushaltes sowie des Säure-Basen-Gleichgewichts
E88;Sonstige Stoffwechselstörungen
E89;Iatrogene Endokrine und Stoffwechselstörungen […];Endokrine und Stoffwechselstörungen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
E90;Sekundäre Ernährungs- und Stoffwechselstörungen […];Ernährungs- und Stoffwechselstörungen bei anderenorts klassifizierten Krankheiten
F00;Demenz bei Alzheimer-Krankheit G30.- 
F01;Vaskuläre Demenz
F02;Demenz bei anderenorts klassifizierten Krankheiten
F03;Nicht näher bezeichnete Demenz
F04;Organ. amnestisches Syndrom, nicht d. Alkohol/Psychotropika;Organisches amnestisches Syndrom, nicht durch Alkohol oder andere psychotrope Substanzen bedingt
F05;Delir, nicht d. Alkohol/Psychotropika bedingt;Delir, nicht durch Alkohol oder andere psychotrope Substanzen bedingt
F06;Andere sekundäre psychische Störungen;Andere psychische Störungen aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit
F07;Sekund. Persönlichk.-/Verh.störung cephaler Genese;Persönlichkeits- und Verhaltensstörung aufgrund einer Krankheit, Schädigung oder Funktionsstörung des Gehirns
F09;N.n.bez. organische oder symptomatische psychische Störung;Nicht näher bezeichnete organische oder symptomatische psychische Störung
F10;Psychische und Verhaltensstörungen durch Alkohol
F11;Psychische und Verhaltensstörungen durch Opioide
F12;Psychische und Verhaltensstörungen durch Cannabinoide
F13;Psychische und Verhaltensstörungen d. Sedativa/Hypnotika;Psychische und Verhaltensstörungen durch Sedativa oder Hypnotika
