406;NC;Gangstörung/Ataxie;
407;NC;Kopfverletzung;
408;NC;Zittern;
409;NC;Symptome eines Schlaganfalls oder TIA;Schwäche in den Extremitäten/Symptome eines Schlaganfalls oder TIA
410;NC;Sensibilitätsstörung/Parästhesie;
411;NC;Schlaffes Kind;
GY;GY;Geburtshilfe/Gynäkologie;
451;GY;Menstruationsbeschwerden;
452;GY;Fremdkörper in der Vagina;
453;GY;Vaginaler Ausfluss;
454;GY;Sexueller Übergriff;
455;GY;Vaginale Blutung;
456;GY;Schamlippenschwellung;
457;GY;Schwangerschaftsprobleme <= 20. SSW;
458;GY;Schwangerschaftsprobleme > 20. SSW;
460;GY;Vaginale Schmerzen/Schmerzen beim Geschlechtsverkehr;
EC;EC;Augenheilkunde;
502;EC;Exposition des Auges gegenüber Chemikalien;
503;EC;Fremdkörper im Auge;
504;EC;Sehstörung;
505;EC;Augenschmerzen;
506;EC;Rote Augen, Ausfluss aus dem Auge;
507;EC;Lichtscheu;
508;EC;Doppelbilder;
509;EC;Periorbitale Schwellung;
510;EC;Trauma Auge;
511;EC;Kontrolluntersuchung der Augen;
OC;OC;Orthopädisch/Unfall-chirurgisch;
551;OC;Rückenschmerzen;
552;OC;Traumatische Rücken-/Wirbelsäulenverletzung;
553;OC;Amputation;
554;OC;Schmerzen obere Extremität;
555;OC;Schmerzen untere Extremität;
556;OC;Verletzung obere Extremität;
557;OC;Verletzung untere Extremität;
558;OC;Gelenkschwellung;
559;OC;Kindliche Gangstörung/Schmerzen beim Gehen;
RC;RC;Respiratorisch;
651;RC;Luftnot;
652;RC;Atemstillstand;
653;RC;Husten/Verschleimung;
654;RC;Hyperventilation;
655;RC;Bluthusten;
656;RC;Fremdkörper in den Atemwegen;
657;RC;Allergische Reaktion;
658;RC;Stridor;
659;RC;Giemen ohne weitere Beschwerden;
660;RC;Apnoeanfälle bei Säuglingen;
661;RC;Grippeähnliche Erkrankung;
SK;SK;Haut;
701;SK;Biss;
702;SK;Insektenstich;
703;SK;Abschürfung;
704;SK;Riss-/Quetsch-/Schnitt-/Stichwunde;
705;SK;Verbrennung;
706;SK;Kontakt mit Blut oder Körperflüssigkeiten;
707;SK;Juckreiz;
708;SK;Hautausschlag;
709;SK;Lokalisierte Schwellung/Rötung;
710;SK;Wundkontrolle;
711;SK;Sonstige Hautprobleme;
712;SK;Schwellung/Beule/Schwiele;
713;SK;Rötung/Spannungsgefühl in der Brust;
714;SK;Ausschluß eines Parasitenbefalls;
715;SK;Zyanose;
716;SK;Spontane Hauteinblutungen;
717;SK;Fremdkörper in der Haut;
718;SK;Nagelprobleme;
SA;SA;Substanzmissbrauch;
751;SA;Substanzmissbrauch/Intoxikation;
752;SA;Einnahme einer Überdosierung;
753;SA;Substanzentzug;
TR;SA;Trauma;
801;SA;Schweres Trauma - penetrierend;
802;SA;Schweres Trauma - stumpf;
803;SA;Isoliertes Thoraxtrauma - penetrierend;
804;SA;Isoliertes Thoraxtrauma - stumpf;
805;SA;Isoliertes Abdominaltrauma - penetrierend;
806;SA;Isoliertes Abdominaltrauma - stumpf;
MC;MC;Allgemeine und sonstige Beschwerden;
851;MC;Exposition gegenüber einer übertragbaren Krankheit;
852;MC;Fieber;
853;MC;Hyperglykämie;
854;MC;Hypoglykämie;
855;MC;Direkte Überweisung/Weiterleitung;
856;MC;Verbandswechsel;
857;MC;Entfernung von Klammern/Nähten;
858;MC;Gipskontrolle;
859;MC;Bildgebung/Blutuntersuchung;
860;MC;Problem mit Medizinprodukt;
861;MC;Verschreibung/Bedarf an Medikamenten;
862;MC;Entfernung Ring;
863;MC;Auffällige Ergebnisse Labor/Bildgebung;
864;MC;Blässe/Anämie;
865;MC;Postoperative Komplikationen;
866;MC;Geringfügige unspezifische Beschwerden;
867;MC;Unstillbares Schreien;
868;MC;Angeborene Probleme bei Kindern;
869;MC;Neugeborenes;
870;MC;Intravenöse Therapie;
998;998;Patient vor Ersteinschätzung wieder gegangen;Patient aufgenommen und vor Ersteinschätzung wieder gegangen
999;999;Unbekannt;
